k_s_per_km,kPk_pi_p1_1,kPk_pi_p2_1,kPk_pi_p7_1,kPk_pi_p8_1,kPk_pi_p9_1
2.364729e+00,3.040868e-11,3.769572e-11,4.457141e-11,6.589841e-11,7.200119e-11
2.365156e+00,3.095256e-11,3.641786e-11,4.513654e-11,6.534404e-11,7.232785e-11
2.365582e+00,3.154473e-11,3.538555e-11,4.574223e-11,6.483880e-11,7.218618e-11
2.366009e+00,3.216950e-11,3.459276e-11,4.638267e-11,6.437427e-11,7.169467e-11
2.366435e+00,3.281743e-11,3.402862e-11,4.704873e-11,6.390295e-11,7.116724e-11
2.366861e+00,3.348687e-11,3.367006e-11,4.773475e-11,6.334697e-11,7.088463e-11
2.367288e+00,3.418379e-11,3.349498e-11,4.843070e-11,6.262695e-11,7.091124e-11
2.367714e+00,3.492189e-11,3.348563e-11,4.911701e-11,6.169835e-11,7.106082e-11
2.368141e+00,3.572223e-11,3.363170e-11,4.977882e-11,6.056153e-11,7.103505e-11
2.368567e+00,3.661004e-11,3.392970e-11,5.039674e-11,5.928962e-11,7.062912e-11
2.368993e+00,3.761242e-11,3.438351e-11,5.096176e-11,5.800072e-11,6.985543e-11
2.369420e+00,3.875356e-11,3.500160e-11,5.147081e-11,5.684116e-11,6.890781e-11
2.369846e+00,4.004848e-11,3.578911e-11,5.191858e-11,5.596400e-11,6.801583e-11
2.370272e+00,4.149753e-11,3.674460e-11,5.230221e-11,5.546219e-11,6.725978e-11
2.370699e+00,4.308362e-11,3.785561e-11,5.261536e-11,5.534789e-11,6.653782e-11
2.371125e+00,4.477248e-11,3.909581e-11,5.284655e-11,5.557012e-11,6.568937e-11
2.371552e+00,4.651519e-11,4.043912e-11,5.299003e-11,5.602429e-11,6.461794e-11
2.371978e+00,4.825678e-11,4.183969e-11,5.304405e-11,5.658265e-11,6.337324e-11
2.372404e+00,4.994162e-11,4.325559e-11,5.301573e-11,5.713256e-11,6.209160e-11
2.372831e+00,5.151795e-11,4.464401e-11,5.291612e-11,5.759933e-11,6.089540e-11
2.373257e+00,5.294377e-11,4.595599e-11,5.275693e-11,5.795392e-11,5.982012e-11
2.373684e+00,5.418537e-11,4.716164e-11,5.254551e-11,5.821502e-11,5.879126e-11
2.374110e+00,5.521555e-11,4.823493e-11,5.228550e-11,5.842387e-11,5.770946e-11
2.374536e+00,5.601344e-11,4.916873e-11,5.197781e-11,5.862330e-11,5.652581e-11
2.374963e+00,5.656305e-11,4.996587e-11,5.162591e-11,5.883543e-11,5.528648e-11
2.375389e+00,5.685471e-11,5.063398e-11,5.124102e-11,5.904941e-11,5.410929e-11
2.375815e+00,5.688668e-11,5.119199e-11,5.083689e-11,5.922559e-11,5.309270e-11
2.376242e+00,5.666437e-11,5.165883e-11,5.042855e-11,5.930650e-11,5.226341e-11
2.376668e+00,5.620169e-11,5.204828e-11,5.003108e-11,5.923636e-11,5.157043e-11
2.377095e+00,5.551991e-11,5.237407e-11,4.965026e-11,5.897936e-11,5.091620e-11
2.377521e+00,5.464552e-11,5.264083e-11,4.929086e-11,5.853243e-11,5.023423e-11
2.377947e+00,5.360893e-11,5.284897e-11,4.895376e-11,5.792381e-11,4.951945e-11
2.378374e+00,5.244331e-11,5.299186e-11,4.864194e-11,5.720547e-11,4.882884e-11
2.378800e+00,5.118750e-11,5.305704e-11,4.836446e-11,5.644514e-11,4.824739e-11
2.379227e+00,4.988567e-11,5.302965e-11,4.813035e-11,5.570052e-11,4.783512e-11
2.379653e+00,4.858650e-11,5.289376e-11,4.794825e-11,5.502173e-11,4.761663e-11
2.380079e+00,4.734040e-11,5.263675e-11,4.781892e-11,5.443519e-11,4.757939e-11
2.380506e+00,4.619323e-11,5.225207e-11,4.773734e-11,5.395385e-11,4.769823e-11
2.380932e+00,4.518081e-11,5.174549e-11,4.769378e-11,5.358473e-11,4.795001e-11
2.381358e+00,4.432169e-11,5.112688e-11,4.767746e-11,5.333399e-11,4.832803e-11
2.381785e+00,4.361347e-11,5.042507e-11,4.767946e-11,5.320247e-11,4.883006e-11
2.382211e+00,4.303256e-11,4.967717e-11,4.769703e-11,5.319706e-11,4.946752e-11
2.382638e+00,4.253582e-11,4.891884e-11,4.772995e-11,5.332107e-11,5.026946e-11
2.383064e+00,4.206763e-11,4.819730e-11,4.777663e-11,5.357233e-11,5.126174e-11
2.383490e+00,4.156633e-11,4.754931e-11,4.783326e-11,5.394339e-11,5.246872e-11
2.383917e+00,4.097095e-11,4.701226e-11,4.789337e-11,5.442124e-11,5.388402e-11
2.384343e+00,4.022907e-11,4.662010e-11,4.794884e-11,5.498780e-11,5.545496e-11
2.384770e+00,3.930285e-11,4.639014e-11,4.799319e-11,5.563217e-11,5.711559e-11
2.385196e+00,3.817678e-11,4.632899e-11,4.802196e-11,5.634257e-11,5.878276e-11
2.385622e+00,3.686228e-11,4.642683e-11,4.803402e-11,5.711590e-11,6.040850e-11
2.386049e+00,3.539925e-11,4.666172e-11,4.803033e-11,5.795006e-11,6.197974e-11
2.386475e+00,3.385511e-11,4.699893e-11,4.801266e-11,5.883314e-11,6.349971e-11
2.386901e+00,3.231903e-11,4.739889e-11,4.798222e-11,5.975275e-11,6.498749e-11
2.387328e+00,3.089206e-11,4.782175e-11,4.793978e-11,6.069286e-11,6.644322e-11
2.387754e+00,2.967317e-11,4.822834e-11,4.788668e-11,6.163335e-11,6.782574e-11
2.388181e+00,2.874696e-11,4.859030e-11,4.782433e-11,6.257290e-11,6.907913e-11
2.388607e+00,2.817299e-11,4.888529e-11,4.775526e-11,6.351795e-11,7.012460e-11
2.389033e+00,2.798097e-11,4.910466e-11,4.768171e-11,6.450175e-11,7.090334e-11
2.389460e+00,2.816994e-11,4.924904e-11,4.760545e-11,6.557403e-11,7.138232e-11
2.389886e+00,2.871041e-11,4.932678e-11,4.752878e-11,6.678094e-11,7.156121e-11
2.390313e+00,2.955120e-11,4.935297e-11,4.745336e-11,6.816966e-11,7.147153e-11
2.390739e+00,3.062563e-11,4.934356e-11,4.738151e-11,6.975030e-11,7.115852e-11
2.391165e+00,3.185785e-11,4.931143e-11,4.731368e-11,7.150888e-11,7.065674e-11
2.391592e+00,3.316802e-11,4.926202e-11,4.724896e-11,7.340083e-11,6.997308e-11
2.392018e+00,3.447785e-11,4.919154e-11,4.718645e-11,7.534924e-11,6.909229e-11
2.392444e+00,3.571763e-11,4.908475e-11,4.712500e-11,7.728929e-11,6.797876e-11
2.392871e+00,3.683063e-11,4.891887e-11,4.706586e-11,7.917305e-11,6.661554e-11
2.393297e+00,3.777836e-11,4.867288e-11,4.701261e-11,8.099463e-11,6.503675e-11
2.393724e+00,3.854472e-11,4.832712e-11,4.697069e-11,8.279041e-11,6.330485e-11
2.394150e+00,3.913343e-11,4.787338e-11,4.694507e-11,8.460926e-11,6.151107e-11
2.394576e+00,3.956460e-11,4.731395e-11,4.693861e-11,8.651679e-11,5.972238e-11
2.395003e+00,3.986962e-11,4.666321e-11,4.695378e-11,8.855670e-11,5.797383e-11
2.395429e+00,4.008292e-11,4.595283e-11,4.699382e-11,9.071784e-11,5.628292e-11
2.395856e+00,4.023664e-11,4.521877e-11,4.706627e-11,9.295809e-11,5.463976e-11
2.396282e+00,4.035780e-11,4.451053e-11,4.718324e-11,9.516948e-11,5.305926e-11
2.396708e+00,4.046601e-11,4.387429e-11,4.736122e-11,9.723283e-11,5.156261e-11
2.397135e+00,4.057432e-11,4.335368e-11,4.761830e-11,9.902502e-11,5.018398e-11
2.397561e+00,4.068983e-11,4.298801e-11,4.796796e-11,1.004329e-10,4.896829e-11
2.397987e+00,4.081343e-11,4.280061e-11,4.842038e-11,1.013993e-10,4.794444e-11
2.398414e+00,4.094069e-11,4.280261e-11,4.898169e-11,1.019135e-10,4.713709e-11
2.398840e+00,4.106160e-11,4.299215e-11,4.965144e-11,1.020102e-10,4.657297e-11
2.399267e+00,4.116165e-11,4.335904e-11,5.043590e-11,1.017636e-10,4.626620e-11
2.399693e+00,4.122426e-11,4.388549e-11,5.133683e-11,1.012667e-10,4.621610e-11
2.400119e+00,4.123415e-11,4.455618e-11,5.236215e-11,1.006110e-10,4.638852e-11
2.400546e+00,4.117956e-11,4.536170e-11,5.351769e-11,9.987184e-11,4.672180e-11
2.400972e+00,4.105354e-11,4.629289e-11,5.479361e-11,9.910635e-11,4.714297e-11
2.401399e+00,4.085315e-11,4.735476e-11,5.618387e-11,9.833841e-11,4.760626e-11
2.401825e+00,4.057748e-11,4.854648e-11,5.766317e-11,9.757724e-11,4.810729e-11
2.402251e+00,4.022648e-11,4.987454e-11,5.921331e-11,9.681077e-11,4.868106e-11
2.402678e+00,3.979880e-11,5.135144e-11,6.082731e-11,9.601490e-11,4.936527e-11
2.403104e+00,3.929270e-11,5.296507e-11,6.248072e-11,9.517712e-11,5.014006e-11
2.403530e+00,3.870922e-11,5.470614e-11,6.416428e-11,9.428512e-11,5.092271e-11
2.403957e+00,3.805380e-11,5.655543e-11,6.586458e-11,9.334112e-11,5.157913e-11
2.404383e+00,3.733845e-11,5.845885e-11,6.754668e-11,9.237786e-11,5.199990e-11
2.404810e+00,3.658231e-11,6.036903e-11,6.918659e-11,9.143636e-11,5.216461e-11
2.405236e+00,3.580732e-11,6.221247e-11,7.074464e-11,9.058163e-11,5.212833e-11
2.405662e+00,3.503590e-11,6.392586e-11,7.219765e-11,8.987783e-11,5.198273e-11
2.406089e+00,3.428855e-11,6.544780e-11,7.352869e-11,8.938422e-11,5.178732e-11
2.406515e+00,3.357972e-11,6.671547e-11,7.471791e-11,8.914883e-11,5.153431e-11
2.406942e+00,3.292043e-11,6.769388e-11,7.575975e-11,8.919028e-11,5.115766e-11
2.407368e+00,3.232121e-11,6.835348e-11,7.663577e-11,8.949804e-11,5.058781e-11
2.407794e+00,3.179314e-11,6.869003e-11,7.733194e-11,9.003267e-11,4.979817e-11
2.408221e+00,3.135002e-11,6.871281e-11,7.783112e-11,9.073637e-11,4.882529e-11
2.408647e+00,3.100723e-11,6.844551e-11,7.811549e-11,9.153612e-11,4.775589e-11
2.409073e+00,3.077990e-11,6.792379e-11,7.817869e-11,9.236403e-11,4.666693e-11
