k_s_per_km,kPk_pi_Ω_m__0.30,kPk_pi_Ω_m__0.40,kPk_pi_Ω_m__0.50,kPk_pi_Ω_m__0.20,kPk_pi_Ω_m__0.10
1.901136e-01,6.124455e-01,1.577100e-01,1.509248e-01,3.066659e-01,5.417511e-01
1.919774e-01,5.936352e-01,1.481271e-01,1.443539e-01,3.123355e-01,5.268021e-01
1.938413e-01,5.705949e-01,1.408719e-01,1.415085e-01,3.160955e-01,5.106629e-01
1.957052e-01,5.474201e-01,1.337623e-01,1.388980e-01,3.278685e-01,4.995993e-01
1.975690e-01,5.222790e-01,1.269501e-01,1.363446e-01,3.282404e-01,4.874611e-01
1.994329e-01,5.055679e-01,1.229032e-01,1.347538e-01,3.319484e-01,4.700187e-01
2.012967e-01,4.860714e-01,1.167068e-01,1.296196e-01,3.371297e-01,4.538703e-01
2.031606e-01,4.713416e-01,1.119244e-01,1.311379e-01,3.428729e-01,4.389496e-01
2.050244e-01,4.565812e-01,1.071625e-01,1.289181e-01,3.473617e-01,4.310029e-01
2.068883e-01,4.320117e-01,1.022378e-01,1.246225e-01,3.463296e-01,4.248406e-01
2.087522e-01,4.003274e-01,9.798701e-02,1.225298e-01,3.434345e-01,4.196874e-01
2.106160e-01,3.882184e-01,9.492250e-02,1.214900e-01,3.452645e-01,4.131650e-01
2.124799e-01,3.689715e-01,9.168279e-02,1.211360e-01,3.454131e-01,4.045384e-01
2.143437e-01,3.522435e-01,8.814248e-02,1.207598e-01,3.436986e-01,3.974889e-01
2.162076e-01,3.392374e-01,8.446666e-02,1.170312e-01,3.443667e-01,3.911533e-01
2.180715e-01,3.216262e-01,8.157056e-02,1.178097e-01,3.466765e-01,3.853028e-01
2.199353e-01,3.080908e-01,7.894062e-02,1.157118e-01,3.399199e-01,3.800417e-01
2.217992e-01,2.898288e-01,7.672160e-02,1.154206e-01,3.333470e-01,3.763034e-01
2.236630e-01,2.774162e-01,7.553540e-02,1.148557e-01,3.314220e-01,3.728337e-01
2.255269e-01,2.690580e-01,7.263230e-02,1.129276e-01,3.309280e-01,3.695667e-01
2.273907e-01,2.560227e-01,7.105316e-02,1.118978e-01,3.169145e-01,3.665483e-01
2.292546e-01,2.480673e-01,6.895925e-02,1.107511e-01,3.150460e-01,3.633995e-01
2.311185e-01,2.363315e-01,6.688392e-02,1.082978e-01,3.064654e-01,3.593439e-01
2.329823e-01,2.303129e-01,6.496234e-02,1.061347e-01,3.008361e-01,3.561536e-01
2.348462e-01,2.178823e-01,6.383969e-02,1.058346e-01,2.952604e-01,3.540148e-01
2.367100e-01,2.114093e-01,6.245049e-02,1.048816e-01,2.822517e-01,3.542510e-01
2.385739e-01,2.006285e-01,6.101795e-02,1.038073e-01,2.744460e-01,3.551873e-01
2.404378e-01,1.894685e-01,5.910206e-02,1.003024e-01,2.628625e-01,3.533633e-01
2.423016e-01,1.835204e-01,5.863507e-02,9.953933e-02,2.511989e-01,3.514634e-01
2.441655e-01,1.756913e-01,5.790619e-02,9.888966e-02,2.410341e-01,3.494107e-01
2.460293e-01,1.710153e-01,5.538398e-02,9.616789e-02,2.328906e-01,3.492305e-01
2.478932e-01,1.653832e-01,5.440867e-02,9.500662e-02,2.261643e-01,3.501657e-01
2.497571e-01,1.627613e-01,5.357406e-02,9.320620e-02,2.204485e-01,3.491283e-01
2.516209e-01,1.567939e-01,5.269671e-02,9.066771e-02,2.097669e-01,3.486880e-01
2.534848e-01,1.489584e-01,5.173124e-02,8.758544e-02,1.980770e-01,3.510592e-01
2.553486e-01,1.452017e-01,4.962386e-02,8.547043e-02,1.884386e-01,3.521345e-01
2.572125e-01,1.437199e-01,4.985157e-02,8.347796e-02,1.816115e-01,3.519560e-01
2.590763e-01,1.373539e-01,4.883685e-02,8.192047e-02,1.710310e-01,3.568489e-01
2.609402e-01,1.357239e-01,4.757439e-02,7.941445e-02,1.636607e-01,3.623345e-01
2.628041e-01,1.343157e-01,4.680855e-02,7.760492e-02,1.562699e-01,3.616140e-01
2.646679e-01,1.289758e-01,4.581528e-02,7.595359e-02,1.481894e-01,3.619021e-01
2.665318e-01,1.278724e-01,4.469306e-02,7.164395e-02,1.403616e-01,3.637692e-01
2.683956e-01,1.252511e-01,4.360582e-02,7.113484e-02,1.350568e-01,3.665160e-01
2.702595e-01,1.216806e-01,4.241805e-02,6.774825e-02,1.277312e-01,3.696700e-01
2.721234e-01,1.215084e-01,4.172736e-02,6.609095e-02,1.218172e-01,3.670015e-01
2.739872e-01,1.171599e-01,4.070794e-02,6.304096e-02,1.155965e-01,3.651099e-01
2.758511e-01,1.160974e-01,4.019374e-02,6.128842e-02,1.088183e-01,3.656632e-01
2.777149e-01,1.152730e-01,3.940064e-02,5.930981e-02,1.022695e-01,3.660021e-01
2.795788e-01,1.117633e-01,3.788575e-02,5.730902e-02,9.811822e-02,3.661761e-01
2.814426e-01,1.139304e-01,3.743350e-02,5.538143e-02,9.265726e-02,3.655811e-01
2.833065e-01,1.114899e-01,3.681996e-02,5.370555e-02,8.817016e-02,3.647043e-01
2.851704e-01,1.094722e-01,3.534303e-02,5.061425e-02,8.442070e-02,3.629651e-01
2.870342e-01,1.088786e-01,3.423267e-02,4.885401e-02,8.079185e-02,3.634046e-01
2.888981e-01,1.085182e-01,3.346309e-02,4.797290e-02,7.672461e-02,3.665421e-01
2.907619e-01,1.040235e-01,3.283827e-02,4.546098e-02,7.417553e-02,3.662611e-01
2.926258e-01,1.029000e-01,3.131116e-02,4.441828e-02,7.011465e-02,3.648195e-01
2.944897e-01,1.003688e-01,3.035810e-02,4.327998e-02,6.667032e-02,3.644014e-01
2.963535e-01,9.978965e-02,2.922634e-02,4.167956e-02,6.367398e-02,3.636147e-01
2.982174e-01,9.783596e-02,2.907143e-02,3.994701e-02,6.057242e-02,3.620738e-01
3.000812e-01,9.623454e-02,2.796535e-02,3.877716e-02,5.811074e-02,3.611499e-01
3.019451e-01,9.588061e-02,2.672911e-02,3.755383e-02,5.578932e-02,3.606006e-01
3.038089e-01,9.435341e-02,2.658163e-02,3.633032e-02,5.216923e-02,3.558169e-01
3.056728e-01,9.390405e-02,2.485977e-02,3.502761e-02,4.911797e-02,3.508709e-01
3.075367e-01,9.262223e-02,2.423227e-02,3.403307e-02,4.738892e-02,3.467762e-01
3.094005e-01,9.144585e-02,2.335443e-02,3.236054e-02,4.632804e-02,3.410428e-01
3.112644e-01,8.946269e-02,2.237075e-02,3.114780e-02,4.426541e-02,3.336944e-01
3.131282e-01,8.652471e-02,2.156343e-02,3.010101e-02,4.291236e-02,3.279598e-01
3.149921e-01,8.761995e-02,2.078579e-02,2.962214e-02,4.106856e-02,3.227221e-01
3.168560e-01,8.499719e-02,1.989891e-02,2.862691e-02,3.903783e-02,3.183564e-01
3.187198e-01,8.194410e-02,1.910220e-02,2.739441e-02,3.730160e-02,3.141515e-01
3.205837e-01,8.178588e-02,1.835770e-02,2.668431e-02,3.571289e-02,3.102027e-01
3.224475e-01,8.238555e-02,1.769135e-02,2.578846e-02,3.433471e-02,3.031239e-01
3.243114e-01,8.050587e-02,1.702163e-02,2.505236e-02,3.335476e-02,2.945659e-01
3.261753e-01,7.744312e-02,1.649849e-02,2.446415e-02,3.203761e-02,2.891724e-01
3.280391e-01,7.615283e-02,1.585428e-02,2.359619e-02,3.052095e-02,2.830168e-01
3.299030e-01,7.542772e-02,1.493675e-02,2.298009e-02,2.950097e-02,2.745254e-01
3.317668e-01,7.359119e-02,1.431809e-02,2.244705e-02,2.847282e-02,2.679607e-01
3.336307e-01,7.222578e-02,1.414071e-02,2.160964e-02,2.673629e-02,2.629047e-01
3.354945e-01,7.041634e-02,1.322258e-02,2.139489e-02,2.595855e-02,2.550231e-01
3.373584e-01,6.894421e-02,1.260172e-02,2.075490e-02,2.543151e-02,2.467987e-01
3.392223e-01,6.654108e-02,1.240170e-02,2.035754e-02,2.442613e-02,2.393688e-01
3.410861e-01,6.481044e-02,1.201444e-02,1.967788e-02,2.329093e-02,2.326194e-01
3.429500e-01,6.333148e-02,1.139810e-02,1.910839e-02,2.268457e-02,2.267272e-01
3.448138e-01,6.051174e-02,1.097780e-02,1.884472e-02,2.203756e-02,2.184456e-01
3.466777e-01,5.911265e-02,1.038938e-02,1.846101e-02,2.154127e-02,2.093315e-01
3.485416e-01,5.750511e-02,1.001322e-02,1.794083e-02,2.103887e-02,2.010137e-01
3.504054e-01,5.606583e-02,9.562367e-03,1.729224e-02,2.028357e-02,1.935140e-01
3.522693e-01,5.377222e-02,9.089148e-03,1.678205e-02,1.988198e-02,1.877215e-01
3.541331e-01,5.167062e-02,8.870000e-03,1.670214e-02,1.973510e-02,1.793174e-01
3.559970e-01,5.018755e-02,8.442037e-03,1.630973e-02,1.915221e-02,1.692963e-01
3.578608e-01,4.886847e-02,8.022242e-03,1.576287e-02,1.858852e-02,1.617391e-01
3.597247e-01,4.765615e-02,7.812751e-03,1.561257e-02,1.836297e-02,1.546134e-01
3.615886e-01,4.519957e-02,7.614181e-03,1.515575e-02,1.821598e-02,1.482338e-01
3.634524e-01,4.406083e-02,7.346301e-03,1.452360e-02,1.793204e-02,1.411615e-01
3.653163e-01,4.237945e-02,6.919915e-03,1.445710e-02,1.756150e-02,1.333936e-01
3.671801e-01,4.129797e-02,6.806776e-03,1.403779e-02,1.719350e-02,1.268150e-01
3.690440e-01,3.973869e-02,6.438048e-03,1.357680e-02,1.698875e-02,1.206094e-01
3.709079e-01,3.822266e-02,6.248447e-03,1.327461e-02,1.697495e-02,1.150679e-01
3.727717e-01,3.692837e-02,6.012274e-03,1.284788e-02,1.640505e-02,1.099757e-01
3.746356e-01,3.513921e-02,5.821561e-03,1.251740e-02,1.607320e-02,1.056135e-01
3.764994e-01,3.404383e-02,5.681109e-03,1.236110e-02,1.542064e-02,1.004884e-01
3.783633e-01,3.257812e-02,5.437693e-03,1.213283e-02,1.478795e-02,9.499498e-02
3.802272e-01,3.149339e-02,5.307201e-03,1.156510e-02,1.434111e-02,9.151171e-02
3.820910e-01,3.000083e-02,5.035089e-03,1.122946e-02,1.384351e-02,8.777187e-02
3.839549e-01,2.917394e-02,4.927024e-03,1.101501e-02,1.364384e-02,8.312613e-02
3.858187e-01,2.767029e-02,4.761316e-03,1.072159e-02,1.339190e-02,7.876416e-02
3.876826e-01,2.681850e-02,4.613481e-03,1.036088e-02,1.310982e-02,7.462818e-02
3.895464e-01,2.573984e-02,4.459703e-03,9.953168e-03,1.282666e-02,7.112524e-02
3.914103e-01,2.488912e-02,4.338246e-03,9.764221e-03,1.255041e-02,6.769812e-02
3.932742e-01,2.430019e-02,4.100700e-03,9.380000e-03,1.219892e-02,6.405931e-02
3.951380e-01,2.281230e-02,4.019156e-03,9.119654e-03,1.209169e-02,6.059872e-02
3.970019e-01,2.177301e-02,3.894842e-03,9.062436e-03,1.183656e-02,5.736660e-02
3.988657e-01,2.121837e-02,3.768352e-03,8.594432e-03,1.150890e-02,5.432351e-02
4.007296e-01,2.026228e-02,3.648844e-03,8.366359e-03,1.121914e-02,5.136923e-02
4.025935e-01,1.962571e-02,3.599678e-03,7.889560e-03,1.103456e-02,4.916761e-02
4.044573e-01,1.886093e-02,3.418986e-03,7.844200e-03,1.070095e-02,4.686095e-02
4.063212e-01,1.815373e-02,3.325154e-03,7.676034e-03,1.045831e-02,4.433000e-02
4.081850e-01,1.778557e-02,3.231383e-03,7.313188e-03,1.031178e-02,4.193693e-02
4.100489e-01,1.724093e-02,3.120397e-03,7.063401e-03,1.010542e-02,3.963060e-02
4.119127e-01,1.628128e-02,3.019370e-03,6.804984e-03,9.755805e-03,3.781817e-02
4.137766e-01,1.604693e-02,2.939011e-03,6.532470e-03,9.574899e-03,3.603957e-02
4.156405e-01,1.547133e-02,2.854178e-03,6.514098e-03,9.304182e-03,3.419467e-02
4.175043e-01,1.512925e-02,2.730810e-03,6.243906e-03,8.995005e-03,3.262332e-02
4.193682e-01,1.469365e-02,2.686586e-03,5.947911e-03,8.847453e-03,3.133116e-02
4.212320e-01,1.430702e-02,2.601838e-03,5.890553e-03,8.738797e-03,3.000961e-02
4.230959e-01,1.371470e-02,2.536349e-03,5.609658e-03,8.317035e-03,2.867869e-02
4.249598e-01,1.332388e-02,2.437129e-03,5.427454e-03,8.215691e-03,2.733212e-02
4.268236e-01,1.311051e-02,2.366268e-03,5.264602e-03,7.940387e-03,2.612285e-02
4.286875e-01,1.289198e-02,2.278870e-03,5.142945e-03,7.728379e-03,2.514094e-02
4.305513e-01,1.220776e-02,2.221035e-03,4.987021e-03,7.550893e-03,2.394212e-02
4.324152e-01,1.208127e-02,2.147570e-03,4.790468e-03,7.311147e-03,2.263645e-02
