k_s_per_km,kPk_pi_0,kPk_pi_1,kPk_pi_2,kPk_pi_n1,kPk_pi_n2
3.943113e-02,1.071564e-06,7.526953e-07,5.786357e-07,1.079340e-06,1.253676e-06
3.987417e-02,9.478652e-07,6.965122e-07,5.177957e-07,9.844592e-07,1.158754e-06
4.031722e-02,8.848897e-07,6.449505e-07,4.818584e-07,9.160372e-07,1.064151e-06
4.076027e-02,8.023878e-07,5.860446e-07,4.336089e-07,8.410257e-07,9.651580e-07
4.120331e-02,7.395281e-07,5.411385e-07,4.048961e-07,7.646652e-07,8.917681e-07
4.164636e-02,6.894447e-07,4.937493e-07,3.704278e-07,7.081430e-07,8.247665e-07
4.208941e-02,6.411176e-07,4.605229e-07,3.503522e-07,6.394619e-07,7.571116e-07
4.253245e-02,5.884135e-07,4.247769e-07,3.203778e-07,6.075338e-07,6.729639e-07
4.297550e-02,5.458075e-07,3.956895e-07,3.013085e-07,5.434095e-07,6.249917e-07
4.341855e-02,5.061094e-07,3.633125e-07,2.823390e-07,5.085423e-07,5.649786e-07
4.386159e-02,4.672076e-07,3.297593e-07,2.654705e-07,4.656310e-07,5.312001e-07
4.430464e-02,4.330242e-07,3.094528e-07,2.494563e-07,4.410516e-07,4.816042e-07
4.474769e-02,3.972902e-07,2.843157e-07,2.289221e-07,4.015061e-07,4.420110e-07
4.519073e-02,3.592906e-07,2.712389e-07,2.123241e-07,3.693867e-07,4.112569e-07
4.563378e-02,3.235321e-07,2.504780e-07,1.984605e-07,3.379293e-07,3.831996e-07
4.607682e-02,2.926803e-07,2.318047e-07,1.871338e-07,3.164125e-07,3.582048e-07
4.651987e-02,2.688470e-07,2.181829e-07,1.674645e-07,2.994382e-07,3.272388e-07
4.696292e-02,2.414977e-07,2.032911e-07,1.619184e-07,2.755091e-07,3.044155e-07
4.740596e-02,2.173524e-07,1.902369e-07,1.467607e-07,2.604260e-07,2.915241e-07
4.784901e-02,2.001646e-07,1.789013e-07,1.378791e-07,2.398018e-07,2.656517e-07
4.829206e-02,1.863502e-07,1.696976e-07,1.298799e-07,2.274087e-07,2.518066e-07
4.873510e-02,1.725958e-07,1.608121e-07,1.199731e-07,2.168438e-07,2.284668e-07
4.917815e-02,1.656316e-07,1.505686e-07,1.160390e-07,1.963685e-07,2.113424e-07
4.962120e-02,1.595336e-07,1.415313e-07,1.062185e-07,1.853156e-07,1.973229e-07
5.006424e-02,1.489182e-07,1.318828e-07,1.020596e-07,1.726839e-07,1.805410e-07
