k_s_per_km,kPk_pi_p1_n2,kPk_pi_p2_n2,kPk_pi_p7_n2,kPk_pi_p8_n2,kPk_pi_p9_n2
3.277145e+00,2.252074e-17,1.091826e-10,2.352062e-11,3.606979e-11,6.400015e-11
3.277628e+00,2.259504e-17,1.087923e-10,2.356388e-11,3.680808e-11,6.432671e-11
3.278111e+00,2.189002e-17,1.086799e-10,2.360516e-11,3.747721e-11,6.475401e-11
3.278594e+00,2.284766e-17,1.090027e-10,2.364039e-11,3.802921e-11,6.528084e-11
3.279077e+00,2.262166e-17,1.096607e-10,2.366336e-11,3.844018e-11,6.589532e-11
3.279560e+00,2.268485e-17,1.104721e-10,2.366709e-11,3.869486e-11,6.658975e-11
3.280043e+00,2.213740e-17,1.113423e-10,2.364384e-11,3.879013e-11,6.735523e-11
3.280526e+00,2.297257e-17,1.123112e-10,2.358605e-11,3.873354e-11,6.818209e-11
3.281009e+00,2.257939e-17,1.134556e-10,2.348777e-11,3.854112e-11,6.905866e-11
3.281491e+00,2.258577e-17,1.148047e-10,2.334502e-11,3.823504e-11,6.997221e-11
3.281974e+00,2.271438e-17,1.163538e-10,2.315597e-11,3.783953e-11,7.091341e-11
3.282457e+00,2.232628e-17,1.180840e-10,2.292481e-11,3.738391e-11,7.186415e-11
3.282940e+00,2.280550e-17,1.199814e-10,2.265944e-11,3.689913e-11,7.280803e-11
3.283423e+00,2.273673e-17,1.220172e-10,2.237271e-11,3.641817e-11,7.372648e-11
3.283906e+00,2.280470e-17,1.241469e-10,2.208459e-11,3.597744e-11,7.459805e-11
3.284389e+00,2.255207e-17,1.263105e-10,2.181869e-11,3.560493e-11,7.540798e-11
3.284872e+00,2.273879e-17,1.284462e-10,2.160076e-11,3.532356e-11,7.614004e-11
3.285355e+00,2.226954e-17,1.304791e-10,2.145896e-11,3.514843e-11,7.678039e-11
3.285838e+00,2.279128e-17,1.323331e-10,2.142083e-11,3.508466e-11,7.731820e-11
3.286321e+00,2.238221e-17,1.339415e-10,2.151274e-11,3.512710e-11,7.774464e-11
3.286804e+00,2.298189e-17,1.352505e-10,2.175793e-11,3.526108e-11,7.805280e-11
3.287287e+00,2.276648e-17,1.362262e-10,2.217420e-11,3.546480e-11,7.823834e-11
3.287770e+00,2.276260e-17,1.368627e-10,2.277329e-11,3.571206e-11,7.829929e-11
3.288253e+00,2.265563e-17,1.371887e-10,2.355863e-11,3.597668e-11,7.823516e-11
3.288736e+00,2.277430e-17,1.372625e-10,2.452640e-11,3.623624e-11,7.804657e-11
3.289219e+00,2.251623e-17,1.371645e-10,2.567289e-11,3.647364e-11,7.772794e-11
3.289702e+00,2.294368e-17,1.370155e-10,2.696141e-11,3.668569e-11,7.729056e-11
