k_s_per_km,kPk_pi_0,kPk_pi_1,kPk_pi_2,kPk_pi_n1,kPk_pi_n2
7.930530e-02,4.866054e-09,7.418605e-09,5.791969e-09,6.046473e-09,5.588293e-09
7.974835e-02,4.616767e-09,7.181031e-09,5.765099e-09,5.934534e-09,5.332280e-09
8.019140e-02,4.370702e-09,6.819772e-09,5.578957e-09,5.808254e-09,5.132124e-09
8.063444e-02,4.190121e-09,6.367785e-09,5.227568e-09,5.729604e-09,4.929333e-09
8.107749e-02,4.000581e-09,6.019989e-09,4.837609e-09,5.694561e-09,4.699483e-09
8.152054e-02,3.849768e-09,5.626568e-09,4.462469e-09,5.555837e-09,4.529175e-09
8.196358e-02,3.710682e-09,5.304206e-09,4.175824e-09,5.410859e-09,4.348103e-09
8.240663e-02,3.598253e-09,5.038292e-09,3.981312e-09,5.193185e-09,4.218563e-09
8.284967e-02,3.499194e-09,4.843302e-09,3.865689e-09,4.960454e-09,4.053264e-09
8.329272e-02,3.417144e-09,4.596745e-09,3.787685e-09,4.714820e-09,3.898812e-09
8.373577e-02,3.347485e-09,4.545238e-09,3.752752e-09,4.481058e-09,3.766986e-09
8.417881e-02,3.276934e-09,4.500525e-09,3.781006e-09,4.152073e-09,3.599998e-09
8.462186e-02,3.191471e-09,4.464506e-09,3.835322e-09,3.904294e-09,3.441397e-09
8.506491e-02,3.103696e-09,4.475717e-09,3.823914e-09,3.697576e-09,3.286211e-09
8.550795e-02,2.996008e-09,4.466263e-09,3.677324e-09,3.493338e-09,3.150582e-09
8.595100e-02,2.903356e-09,4.441417e-09,3.425931e-09,3.366775e-09,3.011074e-09
8.639405e-02,2.793323e-09,4.332693e-09,3.167085e-09,3.322642e-09,2.877650e-09
8.683709e-02,2.689497e-09,4.198642e-09,2.954887e-09,3.226706e-09,2.756915e-09
8.728014e-02,2.579112e-09,3.964799e-09,2.802670e-09,3.212151e-09,2.673713e-09
8.772318e-02,2.453189e-09,3.723391e-09,2.683252e-09,3.201895e-09,2.590640e-09
8.816623e-02,2.338010e-09,3.469771e-09,2.598133e-09,3.189929e-09,2.488089e-09
8.860928e-02,2.215690e-09,3.203855e-09,2.519429e-09,3.117787e-09,2.414056e-09
8.905232e-02,2.112047e-09,2.985250e-09,2.461758e-09,3.054329e-09,2.352561e-09
8.949537e-02,2.007425e-09,2.849948e-09,2.428341e-09,2.884731e-09,2.294619e-09
8.993842e-02,1.921243e-09,2.718286e-09,2.392701e-09,2.795117e-09,2.212094e-09
9.038146e-02,1.839224e-09,2.673236e-09,2.312658e-09,2.586515e-09,2.135926e-09
9.082451e-02,1.763139e-09,2.628999e-09,2.172193e-09,2.405248e-09,2.072545e-09
9.126756e-02,1.697405e-09,2.630565e-09,2.012770e-09,2.230268e-09,2.001424e-09
9.171060e-02,1.645433e-09,2.599870e-09,1.897304e-09,2.110276e-09,1.929266e-09
9.215365e-02,1.601660e-09,2.593532e-09,1.845240e-09,1.984061e-09,1.852243e-09
9.259669e-02,1.566282e-09,2.572650e-09,1.845838e-09,1.927421e-09,1.788003e-09
9.303974e-02,1.536212e-09,2.503323e-09,1.864248e-09,1.879857e-09,1.718297e-09
9.348279e-02,1.508883e-09,2.450486e-09,1.871156e-09,1.884862e-09,1.660324e-09
9.392583e-02,1.476288e-09,2.383282e-09,1.856755e-09,1.881213e-09,1.597249e-09
9.436888e-02,1.437658e-09,2.291274e-09,1.818245e-09,1.877909e-09,1.542288e-09
9.481193e-02,1.404859e-09,2.208512e-09,1.758765e-09,1.877615e-09,1.477853e-09
9.525497e-02,1.359894e-09,2.112017e-09,1.671128e-09,1.843682e-09,1.411199e-09
9.569802e-02,1.313730e-09,2.001851e-09,1.543090e-09,1.808018e-09,1.351814e-09
9.614107e-02,1.265906e-09,1.900396e-09,1.391585e-09,1.740221e-09,1.299163e-09
9.658411e-02,1.211828e-09,1.788579e-09,1.253352e-09,1.659523e-09,1.242040e-09
9.702716e-02,1.155545e-09,1.682403e-09,1.171689e-09,1.557873e-09,1.186497e-09
9.747021e-02,1.098370e-09,1.598651e-09,1.148160e-09,1.454647e-09,1.140775e-09
9.791325e-02,1.042908e-09,1.516176e-09,1.158469e-09,1.369507e-09,1.108044e-09
9.835630e-02,9.926458e-10,1.461867e-09,1.171247e-09,1.258790e-09,1.077188e-09
9.879934e-02,9.474126e-10,1.431940e-09,1.170993e-09,1.183167e-09,1.045286e-09
9.924239e-02,9.095506e-10,1.427792e-09,1.158045e-09,1.142766e-09,1.022574e-09
9.968544e-02,8.784168e-10,1.419380e-09,1.134235e-09,1.107770e-09,1.000447e-09
1.001285e-01,8.521734e-10,1.424267e-09,1.102879e-09,1.103272e-09,9.793442e-10
1.005715e-01,8.276754e-10,1.419131e-09,1.061610e-09,1.108303e-09,9.518339e-10
1.010146e-01,8.072830e-10,1.409867e-09,1.008045e-09,1.121810e-09,9.266870e-10
1.014576e-01,7.887853e-10,1.376760e-09,9.467509e-10,1.109419e-09,8.955211e-10
1.019007e-01,7.714354e-10,1.334922e-09,9.008424e-10,1.107979e-09,8.653101e-10
1.023437e-01,7.543051e-10,1.279442e-09,8.843662e-10,1.078234e-09,8.313624e-10
1.027868e-01,7.363640e-10,1.214296e-09,8.828673e-10,1.051113e-09,7.972634e-10
1.032298e-01,7.147323e-10,1.158158e-09,8.736789e-10,9.990766e-10,7.651644e-10
1.036729e-01,6.906761e-10,1.106821e-09,8.446913e-10,9.383601e-10,7.331017e-10
1.041159e-01,6.643356e-10,1.056094e-09,7.994748e-10,8.774350e-10,7.033732e-10
1.045589e-01,6.368902e-10,1.017448e-09,7.439482e-10,8.173309e-10,6.774854e-10
1.050020e-01,6.100562e-10,9.922187e-10,6.934647e-10,7.677256e-10,6.550073e-10
1.054450e-01,5.850704e-10,9.579017e-10,6.545973e-10,7.238852e-10,6.322707e-10
1.058881e-01,5.608789e-10,9.279579e-10,6.242306e-10,6.931234e-10,6.107209e-10
1.063311e-01,5.389689e-10,8.974002e-10,6.005511e-10,6.782191e-10,5.928582e-10
1.067742e-01,5.187061e-10,8.620348e-10,5.890870e-10,6.715177e-10,5.758251e-10
1.072172e-01,5.003249e-10,8.254297e-10,5.927276e-10,6.770368e-10,5.578096e-10
1.076603e-01,4.851116e-10,7.901656e-10,6.076553e-10,6.814896e-10,5.382986e-10
1.081033e-01,4.713857e-10,7.660040e-10,6.210786e-10,6.884984e-10,5.204552e-10
1.085464e-01,4.604191e-10,7.462963e-10,6.176162e-10,6.877320e-10,5.038426e-10
1.089894e-01,4.488687e-10,7.329898e-10,5.891974e-10,6.734979e-10,4.862862e-10
1.094325e-01,4.390240e-10,7.241170e-10,5.467176e-10,6.526168e-10,4.691396e-10
1.098755e-01,4.267657e-10,7.172474e-10,5.015778e-10,6.177983e-10,4.525454e-10
1.103186e-01,4.145575e-10,7.114376e-10,4.632756e-10,5.833391e-10,4.393704e-10
1.107616e-01,4.000683e-10,6.909804e-10,4.331661e-10,5.375966e-10,4.254044e-10
1.112046e-01,3.865144e-10,6.711664e-10,4.139914e-10,4.972910e-10,4.131103e-10
1.116477e-01,3.712249e-10,6.450289e-10,4.015872e-10,4.618272e-10,4.007044e-10
1.120907e-01,3.572193e-10,6.202370e-10,3.955670e-10,4.294287e-10,3.897969e-10
1.125338e-01,3.421891e-10,5.925967e-10,3.982995e-10,4.114453e-10,3.778295e-10
