k_s_per_km,kPk_pi_p1_0,kPk_pi_p1_1,kPk_pi_p1_2,kPk_pi_p1_n1,kPk_pi_p1_n2
1.711869e-01,2.622868e+02,3.424200e+00,2.391825e+01,9.666337e+00,1.247328e+05
1.729161e-01,2.532237e+02,3.312215e+00,2.429862e+01,1.001505e+01,1.276922e+05
1.746452e-01,2.463443e+02,3.144670e+00,2.561713e+01,1.021194e+01,1.307069e+05
1.763744e-01,2.353526e+02,3.051051e+00,2.646885e+01,1.044613e+01,1.337771e+05
1.781036e-01,2.295224e+02,2.919767e+00,2.806021e+01,1.078309e+01,1.368740e+05
1.798327e-01,2.216952e+02,2.862871e+00,2.860314e+01,1.107357e+01,1.400396e+05
1.815619e-01,2.130446e+02,2.695385e+00,3.091445e+01,1.124553e+01,1.432233e+05
1.832910e-01,2.104300e+02,2.690584e+00,3.202226e+01,1.143070e+01,1.464534e+05
1.850202e-01,1.996660e+02,2.555138e+00,3.307155e+01,1.157437e+01,1.497096e+05
1.867494e-01,1.960943e+02,2.457950e+00,3.471279e+01,1.170177e+01,1.529896e+05
1.884785e-01,1.841835e+02,2.361647e+00,3.600107e+01,1.185746e+01,1.562995e+05
1.902077e-01,1.792550e+02,2.309333e+00,3.799207e+01,1.201409e+01,1.596190e+05
1.919368e-01,1.777387e+02,2.250353e+00,3.986550e+01,1.219096e+01,1.629607e+05
1.936660e-01,1.701616e+02,2.183678e+00,4.060641e+01,1.223269e+01,1.663066e+05
1.953952e-01,1.682206e+02,2.146668e+00,4.314052e+01,1.229244e+01,1.696596e+05
1.971243e-01,1.651400e+02,2.067505e+00,4.533780e+01,1.240655e+01,1.730104e+05
1.988535e-01,1.637199e+02,2.017884e+00,4.586715e+01,1.240712e+01,1.763605e+05
2.005826e-01,1.604288e+02,1.990560e+00,4.740144e+01,1.245304e+01,1.796943e+05
2.023118e-01,1.609915e+02,1.920041e+00,4.865201e+01,1.252063e+01,1.830203e+05
2.040410e-01,1.625128e+02,1.856032e+00,5.024555e+01,1.255152e+01,1.863215e+05
2.057701e-01,1.654808e+02,1.877498e+00,5.006955e+01,1.248285e+01,1.895993e+05
2.074993e-01,1.690203e+02,1.844640e+00,5.107356e+01,1.230337e+01,1.928540e+05
2.092284e-01,1.724435e+02,1.841500e+00,5.219340e+01,1.223055e+01,1.960607e+05
2.109576e-01,1.787290e+02,1.829695e+00,5.282620e+01,1.206249e+01,1.992494e+05
2.126868e-01,1.794972e+02,1.776686e+00,5.271474e+01,1.200148e+01,2.023671e+05
2.144159e-01,1.917834e+02,1.804361e+00,5.295433e+01,1.191829e+01,2.054534e+05
2.161451e-01,1.954817e+02,1.785452e+00,5.201046e+01,1.178070e+01,2.084808e+05
2.178742e-01,2.042092e+02,1.795610e+00,5.159560e+01,1.176106e+01,2.114421e+05
2.196034e-01,2.140399e+02,1.803469e+00,5.110161e+01,1.151828e+01,2.143649e+05
2.213326e-01,2.215618e+02,1.782580e+00,5.072185e+01,1.138840e+01,2.171796e+05
2.230617e-01,2.279010e+02,1.800730e+00,4.973714e+01,1.125514e+01,2.199582e+05
2.247909e-01,2.397453e+02,1.817641e+00,4.851325e+01,1.111698e+01,2.226308e+05
2.265201e-01,2.481676e+02,1.838599e+00,4.799065e+01,1.099478e+01,2.252345e+05
2.282492e-01,2.578793e+02,1.835123e+00,4.804503e+01,1.068977e+01,2.277626e+05
2.299784e-01,2.676974e+02,1.824465e+00,4.681910e+01,1.040376e+01,2.301720e+05
2.317075e-01,2.764506e+02,1.848350e+00,4.570348e+01,1.014520e+01,2.325367e+05
2.334367e-01,2.929515e+02,1.859473e+00,4.487794e+01,9.870512e+00,2.347411e+05
2.351659e-01,2.922643e+02,1.853040e+00,4.334721e+01,9.581858e+00,2.368879e+05
2.368950e-01,3.069287e+02,1.862187e+00,4.219109e+01,9.364276e+00,2.389147e+05
2.386242e-01,3.164111e+02,1.866799e+00,4.106159e+01,8.962793e+00,2.408281e+05
2.403533e-01,3.229989e+02,1.861786e+00,4.024888e+01,8.605267e+00,2.426682e+05
2.420825e-01,3.316681e+02,1.876387e+00,3.807495e+01,8.299678e+00,2.443350e+05
2.438117e-01,3.387550e+02,1.864089e+00,3.647044e+01,8.009620e+00,2.459457e+05
2.455408e-01,3.453279e+02,1.872789e+00,3.581228e+01,7.703536e+00,2.473896e+05
2.472700e-01,3.547045e+02,1.851438e+00,3.476596e+01,7.527007e+00,2.487394e+05
2.489991e-01,3.604023e+02,1.807864e+00,3.338059e+01,7.261352e+00,2.499763e+05
2.507283e-01,3.632641e+02,1.801570e+00,3.193673e+01,6.910761e+00,2.510575e+05
2.524575e-01,3.773449e+02,1.784111e+00,3.066392e+01,6.668726e+00,2.520789e+05
2.541866e-01,3.754633e+02,1.767322e+00,2.980333e+01,6.575000e+00,2.528908e+05
2.559158e-01,3.855262e+02,1.764982e+00,2.859605e+01,6.347543e+00,2.536375e+05
2.576449e-01,3.943670e+02,1.695793e+00,2.807180e+01,6.112038e+00,2.542340e+05
2.593741e-01,3.864679e+02,1.701385e+00,2.721393e+01,5.816405e+00,2.547045e+05
2.611033e-01,4.062009e+02,1.684141e+00,2.682740e+01,5.604217e+00,2.550860e+05
2.628324e-01,3.938528e+02,1.654840e+00,2.582139e+01,5.466425e+00,2.552819e+05
2.645616e-01,4.101928e+02,1.626445e+00,2.551820e+01,5.303594e+00,2.554180e+05
2.662907e-01,4.045808e+02,1.601070e+00,2.501075e+01,5.090696e+00,2.553752e+05
2.680199e-01,4.092521e+02,1.561507e+00,2.448591e+01,4.942399e+00,2.552431e+05
2.697491e-01,4.110121e+02,1.534151e+00,2.419197e+01,4.817390e+00,2.549944e+05
2.714782e-01,4.082894e+02,1.506964e+00,2.442468e+01,4.664501e+00,2.546026e+05
2.732074e-01,4.168641e+02,1.466779e+00,2.398031e+01,4.490054e+00,2.541541e+05
2.749366e-01,4.159724e+02,1.469951e+00,2.400862e+01,4.410966e+00,2.535133e+05
2.766657e-01,4.216471e+02,1.409960e+00,2.360010e+01,4.189735e+00,2.528207e+05
2.783949e-01,4.155416e+02,1.386839e+00,2.406002e+01,4.064107e+00,2.519960e+05
2.801240e-01,4.173075e+02,1.346262e+00,2.397375e+01,3.977745e+00,2.510737e+05
2.818532e-01,4.049759e+02,1.291268e+00,2.470745e+01,3.870154e+00,2.500759e+05
2.835824e-01,4.113703e+02,1.259805e+00,2.465384e+01,3.709958e+00,2.489411e+05
2.853115e-01,4.071011e+02,1.227240e+00,2.561724e+01,3.644254e+00,2.477624e+05
2.870407e-01,3.956817e+02,1.187071e+00,2.585196e+01,3.561946e+00,2.464538e+05
2.887698e-01,4.012494e+02,1.136084e+00,2.667132e+01,3.461831e+00,2.450898e+05
