k_s_per_km,kPk_pi_p8_0,kPk_pi_p8_1,kPk_pi_p8_2,kPk_pi_p8_n1,kPk_pi_p8_n2
4.164636e-02,6.894447e-07,7.980760e-07,9.974589e-07,3.740914e-07,2.549126e-07
4.208941e-02,6.411176e-07,7.330751e-07,9.375240e-07,3.519447e-07,2.353790e-07
4.253245e-02,5.884135e-07,6.772705e-07,8.714211e-07,3.229464e-07,2.176891e-07
4.297550e-02,5.458075e-07,6.220523e-07,8.166603e-07,2.960092e-07,1.964381e-07
4.341855e-02,5.061094e-07,5.736577e-07,7.529516e-07,2.726260e-07,1.791854e-07
4.386159e-02,4.672076e-07,5.284784e-07,6.888912e-07,2.517878e-07,1.659687e-07
4.430464e-02,4.330242e-07,4.880273e-07,6.473076e-07,2.322816e-07,1.495938e-07
4.474769e-02,3.972902e-07,4.580660e-07,5.958386e-07,2.153227e-07,1.376541e-07
4.519073e-02,3.592906e-07,4.288634e-07,5.589880e-07,2.050386e-07,1.290259e-07
4.563378e-02,3.235321e-07,3.991865e-07,5.154777e-07,1.865377e-07,1.165765e-07
4.607682e-02,2.926803e-07,3.765630e-07,4.679985e-07,1.767285e-07,1.076860e-07
4.651987e-02,2.688470e-07,3.563153e-07,4.478496e-07,1.659396e-07,1.026514e-07
4.696292e-02,2.414977e-07,3.306630e-07,4.220357e-07,1.550221e-07,9.765999e-08
4.740596e-02,2.173524e-07,3.068036e-07,3.852240e-07,1.384177e-07,9.250739e-08
4.784901e-02,2.001646e-07,2.904939e-07,3.617757e-07,1.284684e-07,8.804197e-08
4.829206e-02,1.863502e-07,2.705728e-07,3.327349e-07,1.172319e-07,8.252774e-08
4.873510e-02,1.725958e-07,2.532393e-07,3.084370e-07,1.059086e-07,7.855834e-08
4.917815e-02,1.656316e-07,2.388948e-07,2.903515e-07,9.747896e-08,7.374074e-08
4.962120e-02,1.595336e-07,2.190229e-07,2.734111e-07,8.947736e-08,6.715067e-08
5.006424e-02,1.489182e-07,1.989346e-07,2.512665e-07,8.434149e-08,6.178994e-08
5.050729e-02,1.412220e-07,1.869993e-07,2.265993e-07,7.920469e-08,5.720080e-08
5.095033e-02,1.347114e-07,1.764438e-07,2.154562e-07,7.596267e-08,5.207186e-08
5.139338e-02,1.248521e-07,1.613615e-07,1.977163e-07,7.286051e-08,4.736732e-08
5.183643e-02,1.168033e-07,1.517502e-07,1.913692e-07,7.126214e-08,4.325458e-08
5.227947e-02,1.098550e-07,1.411920e-07,1.778573e-07,6.866431e-08,4.060244e-08
5.272252e-02,1.008957e-07,1.318392e-07,1.651547e-07,6.675951e-08,3.964581e-08
5.316557e-02,9.351151e-08,1.213246e-07,1.597857e-07,6.323113e-08,3.677257e-08
5.360861e-02,8.686688e-08,1.151655e-07,1.493959e-07,5.962172e-08,3.572769e-08
5.405166e-02,7.747619e-08,1.097966e-07,1.406760e-07,5.537492e-08,3.508791e-08
5.449471e-02,7.187612e-08,1.037538e-07,1.367795e-07,5.095304e-08,3.349401e-08
5.493775e-02,6.690602e-08,9.923308e-08,1.264471e-07,4.726322e-08,3.230606e-08
5.538080e-02,6.053453e-08,9.653150e-08,1.176352e-07,4.304397e-08,3.072388e-08
5.582384e-02,5.856593e-08,9.271051e-08,1.136104e-07,3.960227e-08,2.888688e-08
5.626689e-02,5.361268e-08,8.886185e-08,1.052998e-07,3.650746e-08,2.679205e-08
5.670994e-02,5.079488e-08,8.427764e-08,9.799824e-08,3.452108e-08,2.458364e-08
5.715298e-02,4.843428e-08,8.061403e-08,9.011856e-08,3.236239e-08,2.268565e-08
5.759603e-02,4.620459e-08,7.528376e-08,8.620490e-08,3.153106e-08,2.053172e-08
5.803908e-02,4.454345e-08,6.999931e-08,8.136750e-08,3.028976e-08,1.909257e-08
5.848212e-02,4.333515e-08,6.612389e-08,7.740723e-08,2.883466e-08,1.780915e-08
5.892517e-02,4.072250e-08,6.196661e-08,7.538758e-08,2.871967e-08,1.707738e-08
5.936822e-02,3.873606e-08,5.795823e-08,7.074378e-08,2.833475e-08,1.674969e-08
5.981126e-02,3.789738e-08,5.574228e-08,6.824179e-08,2.672444e-08,1.623349e-08
6.025431e-02,3.569466e-08,5.154506e-08,6.462447e-08,2.612004e-08,1.668307e-08
6.069736e-02,3.396630e-08,4.890160e-08,6.171701e-08,2.483250e-08,1.632792e-08
6.114040e-02,3.193986e-08,4.564042e-08,6.001919e-08,2.386729e-08,1.653031e-08
6.158345e-02,3.056370e-08,4.346515e-08,5.560930e-08,2.274131e-08,1.606412e-08
6.202649e-02,2.824824e-08,4.176395e-08,5.313587e-08,2.113658e-08,1.553845e-08
6.246954e-02,2.635884e-08,3.972323e-08,5.008356e-08,1.970746e-08,1.489220e-08
6.291259e-02,2.484865e-08,3.904895e-08,4.705411e-08,1.799966e-08,1.360601e-08
6.335563e-02,2.315420e-08,3.768158e-08,4.451961e-08,1.694838e-08,1.248657e-08
6.379868e-02,2.160446e-08,3.638523e-08,4.136622e-08,1.586455e-08,1.125030e-08
6.424173e-02,2.045336e-08,3.511804e-08,3.888063e-08,1.507686e-08,1.015713e-08
6.468477e-02,1.943025e-08,3.437500e-08,3.693843e-08,1.429335e-08,9.104409e-09
6.512782e-02,1.865052e-08,3.291007e-08,3.567396e-08,1.396489e-08,8.460871e-09
6.557087e-02,1.778943e-08,3.123878e-08,3.393033e-08,1.391996e-08,8.012956e-09
6.601391e-02,1.731676e-08,2.976762e-08,3.200291e-08,1.401532e-08,7.657917e-09
6.645696e-02,1.654189e-08,2.781897e-08,3.057584e-08,1.365089e-08,7.917294e-09
6.690000e-02,1.621828e-08,2.663095e-08,2.865520e-08,1.349970e-08,7.994490e-09
6.734305e-02,1.572739e-08,2.513471e-08,2.810104e-08,1.317855e-08,8.127746e-09
6.778610e-02,1.523508e-08,2.384488e-08,2.731588e-08,1.270262e-08,8.399992e-09
6.822914e-02,1.473365e-08,2.241538e-08,2.643238e-08,1.219302e-08,8.355746e-09
6.867219e-02,1.408924e-08,2.125570e-08,2.459035e-08,1.168064e-08,8.439278e-09
6.911524e-02,1.331802e-08,1.995786e-08,2.382902e-08,1.067859e-08,8.166622e-09
6.955828e-02,1.262047e-08,1.894432e-08,2.296073e-08,9.806563e-09,7.685772e-09
7.000133e-02,1.197517e-08,1.784490e-08,2.240014e-08,9.314896e-09,7.044751e-09
7.044438e-02,1.132275e-08,1.741901e-08,2.177745e-08,8.628934e-09,6.369395e-09
7.088742e-02,1.061197e-08,1.671362e-08,2.077416e-08,8.160692e-09,5.768813e-09
7.133047e-02,1.003175e-08,1.608623e-08,1.951364e-08,7.706131e-09,5.071273e-09
7.177351e-02,9.377114e-09,1.572878e-08,1.820143e-08,7.425935e-09,4.662876e-09
7.221656e-02,8.969655e-09,1.528275e-08,1.719468e-08,7.099965e-09,4.300201e-09
7.265961e-02,8.649497e-09,1.473499e-08,1.656077e-08,7.028245e-09,4.102426e-09
7.310265e-02,8.270080e-09,1.442177e-08,1.580194e-08,6.923639e-09,4.201057e-09
7.354570e-02,8.056773e-09,1.431083e-08,1.472687e-08,6.927864e-09,4.168676e-09
7.398875e-02,7.860647e-09,1.374480e-08,1.442216e-08,6.817626e-09,4.368380e-09
7.443179e-02,7.609095e-09,1.339096e-08,1.340830e-08,6.749171e-09,4.480763e-09
7.487484e-02,7.451766e-09,1.259985e-08,1.277782e-08,6.619437e-09,4.644956e-09
7.531789e-02,7.250433e-09,1.202894e-08,1.217920e-08,6.480329e-09,4.656424e-09
7.576093e-02,7.006371e-09,1.143423e-08,1.175251e-08,6.207052e-09,4.564370e-09
7.620398e-02,6.782299e-09,1.078791e-08,1.107865e-08,5.937339e-09,4.372279e-09
7.664702e-02,6.568047e-09,1.018547e-08,1.062638e-08,5.667943e-09,4.074803e-09
7.709007e-02,6.325503e-09,9.530876e-09,1.034878e-08,5.241288e-09,3.701912e-09
7.753312e-02,6.000761e-09,8.911828e-09,9.924053e-09,4.903019e-09,3.343091e-09
7.797616e-02,5.734585e-09,8.469798e-09,9.716258e-09,4.530593e-09,2.987048e-09
7.841921e-02,5.433246e-09,8.125051e-09,9.167303e-09,4.175381e-09,2.665795e-09
7.886226e-02,5.136863e-09,7.714926e-09,9.143653e-09,3.886566e-09,2.428897e-09
7.930530e-02,4.866054e-09,7.493189e-09,8.905900e-09,3.711495e-09,2.325146e-09
7.974835e-02,4.616767e-09,7.374140e-09,8.822700e-09,3.575718e-09,2.293647e-09
8.019140e-02,4.370702e-09,7.113836e-09,8.495351e-09,3.526495e-09,2.320034e-09
8.063444e-02,4.190121e-09,7.038808e-09,8.316912e-09,3.487851e-09,2.423816e-09
8.107749e-02,4.000581e-09,7.043574e-09,7.750730e-09,3.524851e-09,2.522777e-09
8.152054e-02,3.849768e-09,6.821255e-09,7.450991e-09,3.603029e-09,2.616292e-09
8.196358e-02,3.710682e-09,6.609034e-09,6.947155e-09,3.673303e-09,2.635411e-09
8.240663e-02,3.598253e-09,6.374040e-09,6.482846e-09,3.637001e-09,2.637532e-09
8.284967e-02,3.499194e-09,6.210754e-09,6.182133e-09,3.593027e-09,2.527071e-09
8.329272e-02,3.417144e-09,6.002933e-09,5.658820e-09,3.485947e-09,2.359126e-09
8.373577e-02,3.347485e-09,5.609214e-09,5.395796e-09,3.318680e-09,2.188806e-09
8.417881e-02,3.276934e-09,5.353226e-09,5.014093e-09,3.097472e-09,1.942898e-09
8.462186e-02,3.191471e-09,5.066668e-09,4.835253e-09,2.838914e-09,1.757082e-09
8.506491e-02,3.103696e-09,4.803858e-09,4.669591e-09,2.570019e-09,1.594030e-09
8.550795e-02,2.996008e-09,4.600031e-09,4.610317e-09,2.358461e-09,1.441180e-09
8.595100e-02,2.903356e-09,4.378329e-09,4.554683e-09,2.159242e-09,1.372144e-09
8.639405e-02,2.793323e-09,4.273818e-09,4.604531e-09,2.038476e-09,1.354060e-09
8.683709e-02,2.689497e-09,4.085770e-09,4.586723e-09,1.940292e-09,1.381048e-09
8.728014e-02,2.579112e-09,3.987775e-09,4.580684e-09,1.895019e-09,1.415741e-09
8.772318e-02,2.453189e-09,3.855492e-09,4.389101e-09,1.929283e-09,1.487615e-09
8.816623e-02,2.338010e-09,3.745595e-09,4.230462e-09,1.953430e-09,1.541755e-09
8.860928e-02,2.215690e-09,3.579698e-09,4.170673e-09,2.010428e-09,1.553669e-09
8.905232e-02,2.112047e-09,3.463062e-09,3.931563e-09,2.015482e-09,1.558809e-09
8.949537e-02,2.007425e-09,3.319099e-09,3.826175e-09,2.033925e-09,1.499869e-09
8.993842e-02,1.921243e-09,3.186726e-09,3.516101e-09,2.021891e-09,1.407075e-09
9.038146e-02,1.839224e-09,3.055068e-09,3.309840e-09,1.989558e-09,1.289281e-09
9.082451e-02,1.763139e-09,2.957068e-09,3.046323e-09,1.913978e-09,1.169823e-09
9.126756e-02,1.697405e-09,2.894056e-09,2.945643e-09,1.819969e-09,1.061108e-09
9.171060e-02,1.645433e-09,2.796275e-09,2.740568e-09,1.694932e-09,9.425318e-10
9.215365e-02,1.601660e-09,2.752429e-09,2.657402e-09,1.573410e-09,8.712013e-10
9.259669e-02,1.566282e-09,2.701148e-09,2.517786e-09,1.468687e-09,8.266658e-10
9.303974e-02,1.536212e-09,2.668869e-09,2.417541e-09,1.344267e-09,8.112826e-10
9.348279e-02,1.508883e-09,2.597894e-09,2.339492e-09,1.249043e-09,8.381453e-10
9.392583e-02,1.476288e-09,2.550214e-09,2.298926e-09,1.170414e-09,8.629091e-10
9.436888e-02,1.437658e-09,2.448329e-09,2.284420e-09,1.118224e-09,9.122656e-10
9.481193e-02,1.404859e-09,2.341342e-09,2.246101e-09,1.100002e-09,9.446518e-10
9.525497e-02,1.359894e-09,2.249723e-09,2.248061e-09,1.087096e-09,9.614932e-10
9.569802e-02,1.313730e-09,2.113164e-09,2.219019e-09,1.104360e-09,9.559684e-10
9.614107e-02,1.265906e-09,1.992377e-09,2.199488e-09,1.113069e-09,9.213847e-10
9.658411e-02,1.211828e-09,1.865528e-09,2.098174e-09,1.125412e-09,8.798705e-10
9.702716e-02,1.155545e-09,1.748272e-09,2.055360e-09,1.146182e-09,8.057325e-10
9.747021e-02,1.098370e-09,1.662785e-09,1.927254e-09,1.135611e-09,7.206707e-10
9.791325e-02,1.042908e-09,1.592315e-09,1.855534e-09,1.120869e-09,6.413442e-10
9.835630e-02,9.926458e-10,1.545005e-09,1.779799e-09,1.087944e-09,5.743009e-10
9.879934e-02,9.474126e-10,1.513357e-09,1.680711e-09,1.032652e-09,5.318396e-10
9.924239e-02,9.095506e-10,1.502374e-09,1.584856e-09,9.792251e-10,4.985925e-10
9.968544e-02,8.784168e-10,1.498332e-09,1.503948e-09,9.218643e-10,4.954717e-10
1.001285e-01,8.521734e-10,1.505653e-09,1.415370e-09,8.478105e-10,5.033882e-10
1.005715e-01,8.276754e-10,1.502883e-09,1.355642e-09,7.807460e-10,5.291451e-10
1.010146e-01,8.072830e-10,1.487808e-09,1.339842e-09,7.225657e-10,5.611870e-10
1.014576e-01,7.887853e-10,1.457176e-09,1.282072e-09,6.800501e-10,5.858186e-10
1.019007e-01,7.714354e-10,1.412444e-09,1.263458e-09,6.511096e-10,6.035007e-10
1.023437e-01,7.543051e-10,1.358593e-09,1.208360e-09,6.324081e-10,6.063830e-10
1.027868e-01,7.363640e-10,1.292440e-09,1.190961e-09,6.306883e-10,5.860586e-10
1.032298e-01,7.147323e-10,1.229155e-09,1.152149e-09,6.375434e-10,5.553921e-10
1.036729e-01,6.906761e-10,1.158642e-09,1.136942e-09,6.497382e-10,5.113948e-10
1.041159e-01,6.643356e-10,1.089001e-09,1.105658e-09,6.633066e-10,4.588590e-10
1.045589e-01,6.368902e-10,1.034879e-09,1.074397e-09,6.766487e-10,4.034670e-10
1.050020e-01,6.100562e-10,9.858854e-10,1.035970e-09,6.759627e-10,3.580247e-10
1.054450e-01,5.850704e-10,9.450607e-10,1.012644e-09,6.668136e-10,3.248657e-10
1.058881e-01,5.608789e-10,9.080762e-10,9.838850e-10,6.456169e-10,3.031422e-10
1.063311e-01,5.389689e-10,8.802307e-10,9.412254e-10,6.158279e-10,2.982963e-10
1.067742e-01,5.187061e-10,8.598259e-10,9.244874e-10,5.767465e-10,3.080677e-10
1.072172e-01,5.003249e-10,8.402915e-10,8.813625e-10,5.353221e-10,3.285826e-10
1.076603e-01,4.851116e-10,8.236090e-10,8.642946e-10,4.912955e-10,3.508234e-10
1.081033e-01,4.713857e-10,8.061591e-10,8.273542e-10,4.498114e-10,3.733808e-10
1.085464e-01,4.604191e-10,7.902726e-10,7.924521e-10,4.178293e-10,3.905078e-10
1.089894e-01,4.488687e-10,7.634417e-10,7.423168e-10,3.889820e-10,3.949165e-10
1.094325e-01,4.390240e-10,7.480026e-10,7.022050e-10,3.739524e-10,3.889687e-10
1.098755e-01,4.267657e-10,7.313607e-10,6.711686e-10,3.674612e-10,3.694999e-10
1.103186e-01,4.145575e-10,7.137703e-10,6.469592e-10,3.685793e-10,3.391116e-10
1.107616e-01,4.000683e-10,6.950726e-10,6.267585e-10,3.782629e-10,3.034207e-10
1.112046e-01,3.865144e-10,6.813351e-10,6.027260e-10,3.898574e-10,2.626673e-10
1.116477e-01,3.712249e-10,6.675486e-10,5.880862e-10,4.001849e-10,2.283627e-10
1.120907e-01,3.572193e-10,6.499378e-10,5.720867e-10,4.068457e-10,1.980327e-10
1.125338e-01,3.421891e-10,6.313220e-10,5.708274e-10,4.094476e-10,1.816593e-10
1.129768e-01,3.287260e-10,6.080418e-10,5.618225e-10,4.050308e-10,1.730971e-10
1.134199e-01,3.151496e-10,5.865374e-10,5.614688e-10,3.933426e-10,1.779078e-10
1.138629e-01,3.036233e-10,5.573605e-10,5.459329e-10,3.707019e-10,1.921832e-10
1.143060e-01,2.928795e-10,5.304719e-10,5.382699e-10,3.456157e-10,2.092336e-10
1.147490e-01,2.842174e-10,5.008457e-10,5.237342e-10,3.164312e-10,2.285777e-10
1.151921e-01,2.765295e-10,4.716687e-10,5.085492e-10,2.891270e-10,2.456873e-10
1.156351e-01,2.698910e-10,4.474536e-10,4.888988e-10,2.616171e-10,2.547498e-10
1.160782e-01,2.637144e-10,4.284768e-10,4.600803e-10,2.417331e-10,2.575887e-10
1.165212e-01,2.571589e-10,4.137577e-10,4.399476e-10,2.279797e-10,2.498783e-10
1.169642e-01,2.510569e-10,4.017318e-10,4.147030e-10,2.210942e-10,2.340394e-10
1.174073e-01,2.440190e-10,3.939062e-10,3.952965e-10,2.202896e-10,2.120827e-10
1.178503e-01,2.372972e-10,3.910523e-10,3.708672e-10,2.233929e-10,1.854668e-10
1.182934e-01,2.296320e-10,3.877172e-10,3.514128e-10,2.307881e-10,1.593047e-10
1.187364e-01,2.225011e-10,3.890384e-10,3.302215e-10,2.374969e-10,1.356995e-10
1.191795e-01,2.140916e-10,3.879238e-10,3.227631e-10,2.444877e-10,1.186583e-10
1.196225e-01,2.066252e-10,3.839146e-10,3.178143e-10,2.482905e-10,1.083539e-10
1.200656e-01,1.983486e-10,3.780739e-10,3.180650e-10,2.492279e-10,1.057849e-10
1.205086e-01,1.915153e-10,3.681641e-10,3.114915e-10,2.442200e-10,1.108919e-10
1.209517e-01,1.843903e-10,3.567499e-10,3.083030e-10,2.347660e-10,1.207257e-10
1.213947e-01,1.788514e-10,3.421957e-10,3.057011e-10,2.214385e-10,1.332426e-10
1.218378e-01,1.731319e-10,3.255087e-10,3.039459e-10,2.068417e-10,1.463594e-10
1.222808e-01,1.685107e-10,3.088856e-10,3.051813e-10,1.899769e-10,1.562884e-10
1.227238e-01,1.635493e-10,2.959517e-10,2.980593e-10,1.728267e-10,1.622539e-10
1.231669e-01,1.591492e-10,2.815083e-10,2.909163e-10,1.588134e-10,1.625745e-10
1.236099e-01,1.544648e-10,2.696342e-10,2.771414e-10,1.476459e-10,1.561509e-10
1.240530e-01,1.499611e-10,2.584718e-10,2.672561e-10,1.407612e-10,1.444812e-10
1.244960e-01,1.453264e-10,2.478177e-10,2.513124e-10,1.356351e-10,1.295776e-10
1.249391e-01,1.405678e-10,2.415161e-10,2.397819e-10,1.349608e-10,1.130820e-10
1.253821e-01,1.357849e-10,2.337671e-10,2.243861e-10,1.361338e-10,9.671845e-11
1.258252e-01,1.307766e-10,2.283323e-10,2.114701e-10,1.405131e-10,8.310991e-11
1.262682e-01,1.261024e-10,2.234730e-10,1.991662e-10,1.443332e-10,7.345148e-11
1.267113e-01,1.213690e-10,2.178513e-10,1.916711e-10,1.476956e-10,6.895852e-11
1.271543e-01,1.173928e-10,2.120986e-10,1.839512e-10,1.496372e-10,6.879150e-11
