k_s_per_km,kPk_pi_p1_n1,kPk_pi_p2_n1,kPk_pi_p7_n1,kPk_pi_p8_n1,kPk_pi_p9_n1
9.236169e-02,1.543478e-09,1.957464e-09,1.489319e-09,1.524235e-09,2.137200e-09
9.282350e-02,1.475759e-09,1.903071e-09,1.462272e-09,1.404993e-09,2.050133e-09
9.328531e-02,1.429923e-09,1.882631e-09,1.419455e-09,1.291487e-09,1.956511e-09
9.374711e-02,1.355173e-09,1.882685e-09,1.374825e-09,1.202132e-09,1.894857e-09
9.420892e-02,1.329293e-09,1.879102e-09,1.316480e-09,1.137067e-09,1.836909e-09
9.467073e-02,1.265352e-09,1.877709e-09,1.251747e-09,1.105809e-09,1.752623e-09
9.513254e-02,1.209796e-09,1.853059e-09,1.179034e-09,1.090663e-09,1.681237e-09
9.559435e-02,1.139145e-09,1.816363e-09,1.107504e-09,1.100320e-09,1.636931e-09
9.605616e-02,1.067912e-09,1.753214e-09,1.031476e-09,1.111400e-09,1.597200e-09
9.651796e-02,1.006405e-09,1.671572e-09,9.648113e-10,1.123569e-09,1.553503e-09
9.697977e-02,9.632164e-10,1.568746e-09,9.095646e-10,1.143960e-09,1.490033e-09
9.744158e-02,9.251975e-10,1.461317e-09,8.674442e-10,1.136294e-09,1.431951e-09
9.790339e-02,8.898235e-10,1.371401e-09,8.300673e-10,1.121197e-09,1.378011e-09
9.836520e-02,8.574387e-10,1.257270e-09,8.175080e-10,1.086833e-09,1.307863e-09
9.882701e-02,8.233600e-10,1.180644e-09,8.043100e-10,1.029315e-09,1.245010e-09
9.928881e-02,7.997490e-10,1.139100e-09,8.093751e-10,9.732152e-10,1.181270e-09
9.975062e-02,7.795906e-10,1.107108e-09,8.106370e-10,9.109700e-10,1.136633e-09
1.002124e-01,7.715410e-10,1.104225e-09,8.062464e-10,8.351091e-10,1.082409e-09
1.006742e-01,7.644915e-10,1.111434e-09,7.915402e-10,7.672612e-10,1.043954e-09
1.011360e-01,7.594914e-10,1.118414e-09,7.786180e-10,7.109147e-10,1.023634e-09
1.015979e-01,7.348651e-10,1.108963e-09,7.499202e-10,6.708866e-10,1.001329e-09
1.020597e-01,7.064090e-10,1.097303e-09,7.075566e-10,6.443973e-10,9.905398e-10
1.025215e-01,6.688999e-10,1.067352e-09,6.638652e-10,6.317180e-10,9.758498e-10
1.029833e-01,6.359591e-10,1.028032e-09,6.180556e-10,6.337290e-10,9.589333e-10
1.034451e-01,6.108544e-10,9.695748e-10,5.742528e-10,6.434688e-10,9.393590e-10
1.039069e-01,5.858324e-10,9.061784e-10,5.309597e-10,6.569052e-10,9.099727e-10
1.043687e-01,5.642790e-10,8.431363e-10,4.952298e-10,6.709203e-10,8.685611e-10
1.048305e-01,5.351280e-10,7.869252e-10,4.726718e-10,6.762282e-10,8.208406e-10
1.052923e-01,5.081140e-10,7.389968e-10,4.617578e-10,6.699673e-10,7.740368e-10
1.057541e-01,4.781220e-10,7.024262e-10,4.560833e-10,6.520271e-10,7.281785e-10
1.062159e-01,4.578489e-10,6.820949e-10,4.577010e-10,6.235744e-10,6.828040e-10
1.066778e-01,4.440236e-10,6.729756e-10,4.595557e-10,5.852490e-10,6.481120e-10
1.071396e-01,4.281386e-10,6.760700e-10,4.636152e-10,5.425784e-10,6.272011e-10
1.076014e-01,4.193122e-10,6.808977e-10,4.658756e-10,4.971478e-10,6.124510e-10
1.080632e-01,4.027802e-10,6.878640e-10,4.503742e-10,4.535665e-10,5.987326e-10
1.085250e-01,3.925259e-10,6.877690e-10,4.384652e-10,4.193739e-10,5.892963e-10
1.089868e-01,3.804840e-10,6.735814e-10,4.165220e-10,3.891513e-10,5.831948e-10
1.094486e-01,3.714401e-10,6.513514e-10,3.875097e-10,3.737165e-10,5.660005e-10
1.099104e-01,3.631761e-10,6.150841e-10,3.626231e-10,3.675493e-10,5.536363e-10
1.103722e-01,3.591472e-10,5.778045e-10,3.385086e-10,3.697510e-10,5.377155e-10
