k_s_per_km,kPk_pi_p1_0,kPk_pi_p2_0,kPk_pi_p7_0,kPk_pi_p8_0,kPk_pi_p9_0
4.607682e-02,2.926803e-07,2.926803e-07,2.926803e-07,2.926803e-07,2.926803e-07
4.651987e-02,2.688470e-07,2.688470e-07,2.688470e-07,2.688470e-07,2.688470e-07
4.696292e-02,2.414977e-07,2.414977e-07,2.414977e-07,2.414977e-07,2.414977e-07
4.740596e-02,2.173524e-07,2.173524e-07,2.173524e-07,2.173524e-07,2.173524e-07
4.784901e-02,2.001646e-07,2.001646e-07,2.001646e-07,2.001646e-07,2.001646e-07
4.829206e-02,1.863502e-07,1.863502e-07,1.863502e-07,1.863502e-07,1.863502e-07
4.873510e-02,1.725958e-07,1.725958e-07,1.725958e-07,1.725958e-07,1.725958e-07
4.917815e-02,1.656316e-07,1.656316e-07,1.656316e-07,1.656316e-07,1.656316e-07
4.962120e-02,1.595336e-07,1.595336e-07,1.595336e-07,1.595336e-07,1.595336e-07
5.006424e-02,1.489182e-07,1.489182e-07,1.489182e-07,1.489182e-07,1.489182e-07
5.050729e-02,1.412220e-07,1.412220e-07,1.412220e-07,1.412220e-07,1.412220e-07
5.095033e-02,1.347114e-07,1.347114e-07,1.347114e-07,1.347114e-07,1.347114e-07
5.139338e-02,1.248521e-07,1.248521e-07,1.248521e-07,1.248521e-07,1.248521e-07
5.183643e-02,1.168033e-07,1.168033e-07,1.168033e-07,1.168033e-07,1.168033e-07
5.227947e-02,1.098550e-07,1.098550e-07,1.098550e-07,1.098550e-07,1.098550e-07
5.272252e-02,1.008957e-07,1.008957e-07,1.008957e-07,1.008957e-07,1.008957e-07
5.316557e-02,9.351151e-08,9.351151e-08,9.351151e-08,9.351151e-08,9.351151e-08
5.360861e-02,8.686688e-08,8.686688e-08,8.686688e-08,8.686688e-08,8.686688e-08
5.405166e-02,7.747619e-08,7.747619e-08,7.747619e-08,7.747619e-08,7.747619e-08
5.449471e-02,7.187612e-08,7.187612e-08,7.187612e-08,7.187612e-08,7.187612e-08
5.493775e-02,6.690602e-08,6.690602e-08,6.690602e-08,6.690602e-08,6.690602e-08
5.538080e-02,6.053453e-08,6.053453e-08,6.053453e-08,6.053453e-08,6.053453e-08
5.582384e-02,5.856593e-08,5.856593e-08,5.856593e-08,5.856593e-08,5.856593e-08
5.626689e-02,5.361268e-08,5.361268e-08,5.361268e-08,5.361268e-08,5.361268e-08
5.670994e-02,5.079488e-08,5.079488e-08,5.079488e-08,5.079488e-08,5.079488e-08
5.715298e-02,4.843428e-08,4.843428e-08,4.843428e-08,4.843428e-08,4.843428e-08
5.759603e-02,4.620459e-08,4.620459e-08,4.620459e-08,4.620459e-08,4.620459e-08
5.803908e-02,4.454345e-08,4.454345e-08,4.454345e-08,4.454345e-08,4.454345e-08
5.848212e-02,4.333515e-08,4.333515e-08,4.333515e-08,4.333515e-08,4.333515e-08
5.892517e-02,4.072250e-08,4.072250e-08,4.072250e-08,4.072250e-08,4.072250e-08
5.936822e-02,3.873606e-08,3.873606e-08,3.873606e-08,3.873606e-08,3.873606e-08
5.981126e-02,3.789738e-08,3.789738e-08,3.789738e-08,3.789738e-08,3.789738e-08
6.025431e-02,3.569466e-08,3.569466e-08,3.569466e-08,3.569466e-08,3.569466e-08
6.069736e-02,3.396630e-08,3.396630e-08,3.396630e-08,3.396630e-08,3.396630e-08
6.114040e-02,3.193986e-08,3.193986e-08,3.193986e-08,3.193986e-08,3.193986e-08
6.158345e-02,3.056370e-08,3.056370e-08,3.056370e-08,3.056370e-08,3.056370e-08
6.202649e-02,2.824824e-08,2.824824e-08,2.824824e-08,2.824824e-08,2.824824e-08
6.246954e-02,2.635884e-08,2.635884e-08,2.635884e-08,2.635884e-08,2.635884e-08
6.291259e-02,2.484865e-08,2.484865e-08,2.484865e-08,2.484865e-08,2.484865e-08
6.335563e-02,2.315420e-08,2.315420e-08,2.315420e-08,2.315420e-08,2.315420e-08
6.379868e-02,2.160446e-08,2.160446e-08,2.160446e-08,2.160446e-08,2.160446e-08
